ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,5,96,256,256,4,5242880,20,4,6,149.092,3015.59,2.15
8,8,5,96,1024,10,1,1048576,20,4,6,496.288,905.92,3.02
8,8,5,96,1024,10,1,5242880,20,4,6,490.593,916.44,3.02
8,8,5,96,1024,10,2,1048576,20,4,6,493.984,910.15,2.83
8,8,5,96,1024,10,2,5242880,20,4,6,491.249,915.22,2.83
8,8,5,96,1024,10,3,1048576,20,4,6,496.223,906.04,2.86
8,8,5,96,1024,10,3,5242880,20,4,6,491.509,914.73,2.86
8,8,5,96,1024,10,4,1048576,20,4,6,489.402,918.67,2.98
8,8,5,96,1024,10,4,5242880,20,4,6,498.648,901.64,2.98
8,8,5,96,1024,50,1,1048576,20,4,6,489.054,919.32,2.39
8,8,5,96,1024,50,1,5242880,20,4,6,495.447,907.46,2.39
8,8,5,96,1024,50,2,1048576,20,4,6,496.192,906.10,2.44
8,8,5,96,1024,50,2,5242880,20,4,6,494.998,908.28,2.44
8,8,5,96,1024,50,3,1048576,20,4,6,499.628,899.87,2.50
8,8,5,96,1024,50,3,5242880,20,4,6,497.141,904.37,2.50
8,8,5,96,1024,50,4,1048576,20,4,6,494.982,908.31,2.56
8,8,5,96,1024,50,4,5242880,20,4,6,501.306,896.85,2.56
8,8,5,96,1024,256,1,1048576,20,4,6,504.103,891.88,2.16
8,8,5,96,1024,256,1,5242880,20,4,6,508.406,884.33,2.16
8,8,5,96,1024,256,2,1048576,20,4,6,509.781,881.94,2.20
8,8,5,96,1024,256,2,5242880,20,4,6,508.935,883.41,2.20
8,8,5,96,1024,256,3,1048576,20,4,6,508.231,884.63,2.23
8,8,5,96,1024,256,3,5242880,20,4,6,508.539,884.10,2.23
8,8,5,96,1024,256,4,1048576,20,4,6,506.543,887.58,2.26
8,8,5,96,1024,256,4,5242880,20,4,6,510.754,880.26,2.26
8,24,1,32,256,10,1,1048576,20,4,6,74.227,6057.10,2.92
8,24,1,32,256,10,1,5242880,20,4,6,70.396,6386.74,2.92
8,24,1,32,256,10,2,1048576,20,4,6,71.399,6297.02,2.75
8,24,1,32,256,10,2,5242880,20,4,6,84.652,5311.16,2.75
8,24,1,32,256,10,3,1048576,20,4,6,70.679,6361.16,2.76
8,24,1,32,256,10,3,5242880,20,4,6,71.801,6261.76,2.76
8,24,1,32,256,10,4,1048576,20,4,6,71.424,6294.81,2.80
8,24,1,32,256,10,4,5242880,20,4,6,73.579,6110.45,2.80
8,24,1,32,256,50,1,1048576,20,4,6,79.609,5647.61,2.37
8,24,1,32,256,50,1,5242880,20,4,6,77.956,5767.36,2.37
8,24,1,32,256,50,2,1048576,20,4,6,81.919,5488.36,2.39
8,24,1,32,256,50,2,5242880,20,4,6,73.899,6083.99,2.39
8,24,1,32,256,50,3,1048576,20,4,6,75.254,5974.44,2.42
8,24,1,32,256,50,3,5242880,20,4,6,75.955,5919.30,2.42
8,24,1,32,256,50,4,1048576,20,4,6,81.710,5502.39,2.46
8,24,1,32,256,50,4,5242880,20,4,6,91.959,4889.14,2.46
8,24,1,32,256,256,1,1048576,20,4,6,87.550,5135.36,2.15
8,24,1,32,256,256,1,5242880,20,4,6,88.923,5056.07,2.15
8,24,1,32,256,256,2,1048576,20,4,6,78.811,5704.80,2.15
8,24,1,32,256,256,2,5242880,20,4,6,91.017,4939.74,2.15
8,24,1,32,256,256,3,1048576,20,4,6,90.044,4993.12,2.15
8,24,1,32,256,256,3,5242880,20,4,6,86.255,5212.46,2.15
8,24,1,32,256,256,4,1048576,20,4,6,80.713,5570.36,2.15
8,24,1,32,256,256,4,5242880,20,4,6,85.929,5232.23,2.15
8,24,1,32,1024,10,1,1048576,20,4,6,237.976,1889.27,2.93
8,24,1,32,1024,10,1,5242880,20,4,6,236.156,1903.83,2.93
8,24,1,32,1024,10,2,1048576,20,4,6,239.342,1878.48,2.70
8,24,1,32,1024,10,2,5242880,20,4,6,232.848,1930.87,2.70
8,24,1,32,1024,10,3,1048576,20,4,6,235.963,1905.38,2.81
8,24,1,32,1024,10,3,5242880,20,4,6,236.262,1902.97,2.81
8,24,1,32,1024,10,4,1048576,20,4,6,235.584,1908.45,2.88
8,24,1,32,1024,10,4,5242880,20,4,6,236.983,1897.18,2.88
8,24,1,32,1024,50,1,1048576,20,4,6,240.073,1872.76,2.35
8,24,1,32,1024,50,1,5242880,20,4,6,240.152,1872.15,2.35
8,24,1,32,1024,50,2,1048576,20,4,6,240.684,1868.01,2.39
8,24,1,32,1024,50,2,5242880,20,4,6,241.231,1863.77,2.39
8,24,1,32,1024,50,3,1048576,20,4,6,237.897,1889.89,2.42
8,24,1,32,1024,50,3,5242880,20,4,6,239.181,1879.75,2.42
8,24,1,32,1024,50,4,1048576,20,4,6,241.327,1863.03,2.49
8,24,1,32,1024,50,4,5242880,20,4,6,236.970,1897.29,2.49
8,24,1,32,1024,256,1,1048576,20,4,6,250.786,1792.76,2.15
8,24,1,32,1024,256,1,5242880,20,4,6,253.813,1771.38,2.15
8,24,1,32,1024,256,2,1048576,20,4,6,248.955,1805.95,2.19
8,24,1,32,1024,256,2,5242880,20,4,6,248.601,1808.52,2.19
8,24,1,32,1024,256,3,1048576,20,4,6,248.071,1812.38,2.20
8,24,1,32,1024,256,3,5242880,20,4,6,246.340,1825.12,2.20
8,24,1,32,1024,256,4,1048576,20,4,6,247.608,1815.77,2.21
8,24,1,32,1024,256,4,5242880,20,4,6,248.981,1805.76,2.21
8,24,1,96,256,10,1,1048576,20,4,6,78.209,5748.71,2.92
8,24,1,96,256,10,1,5242880,20,4,6,75.173,5980.88,2.92
8,24,1,96,256,10,2,1048576,20,4,6,74.803,6010.46,2.75
8,24,1,96,256,10,2,5242880,20,4,6,75.003,5994.44,2.75
8,24,1,96,256,10,3,1048576,20,4,6,91.259,4926.64,2.76
8,24,1,96,256,10,3,5242880,20,4,6,89.075,5047.44,2.76
8,24,1,96,256,10,4,1048576,20,4,6,74.878,6004.44,2.80
8,24,1,96,256,10,4,5242880,20,4,6,87.905,5114.62,2.80
8,24,1,96,256,50,1,1048576,20,4,6,88.888,5058.06,2.37
8,24,1,96,256,50,1,5242880,20,4,6,78.228,5747.31,2.37
8,24,1,96,256,50,2,1048576,20,4,6,78.736,5710.23,2.39
8,24,1,96,256,50,2,5242880,20,4,6,88.730,5067.06,2.39
8,24,1,96,256,50,3,1048576,20,4,6,91.237,4927.83,2.42
8,24,1,96,256,50,3,5242880,20,4,6,91.402,4918.94,2.42
8,24,1,96,256,50,4,1048576,20,4,6,86.679,5186.96,2.46
8,24,1,96,256,50,4,5242880,20,4,6,86.732,5183.79,2.46
8,24,1,96,256,256,1,1048576,20,4,6,84.320,5332.08,2.15
8,24,1,96,256,256,1,5242880,20,4,6,86.614,5190.85,2.15
